,Country,num_occurrences,longitude,latitude
0,United States of America,307,-95.712891,37.09024
1,India,217,78.96288,20.593684
2,Brazil,82,-51.92528,-14.235004
3,Mexico,67,-102.552784,23.634501
4,Indonesia,43,113.921327,-0.789275
5,Russia,36,105.318756,61.52401
6,Thailand,16,100.992541,15.870032
7,Philippines,13,121.774017,12.879721
8,Colombia,10,-74.297333,4.570868
9,United Kingdom,9,-3.435973,55.378051
10,Pakistan,8,69.345116,30.375321
11,Iraq,7,43.679291,33.223191
12,Egypt,7,30.802498,26.820553
13,Argentina,6,-63.616672,-38.416097
14,Spain,5,-3.74922,40.463667
15,Algeria,5,1.659626,28.033886
16,France,5,2.213749,46.227638
17,Japan,4,138.252924,36.204824
18,Saudi Arabia,4,45.079162,23.885942
19,Turkey,4,35.243322,38.963745
20,Bangladesh,3,90.356331,23.684994
21,Morocco,3,-7.09262,31.791702
22,Peru,2,-75.015152,-9.189967
23,Malaysia,2,101.975766,4.210484
24,Ecuador,1,-78.183406,-1.831239
25,Jordan,1,36.238414,30.585164
26,Somalia,1,46.199616,5.152149
