Sno,Name,Youtuber,Country,Subscribers,Category_2,Avg_views,Avg_likes,Avg_Comments,Category_3
1,T-Series,tseries,India,224400000.0,Music & Dance,141500.0,4600.0,125.0,,
2,Cocomelon - Nursery Rhymes,checkgate,United States,142500000.0,Education,12500000.0,64800.0,0.0,,
3,PewDiePie,PewDiePie,United States,111600000.0,Animation,1900000.0,130500.0,7400.0,,
4,MrBeast,MrBeast6000,United States,104100000.0,Video games,44800000.0,2200000.0,70900.0,Humor,
5,✿ Kids Diana Show,✿ Kids Diana Show,United Arab Emirates,100500000.0,Animation,6900000.0,34800.0,0.0,Toys,
6,Like Nastya,Like Nastya,United States,100400000.0,Toys,5300000.0,28100.0,0.0,,
7,WWE,WWEFanNation,United States,90800000.0,Video games,139500.0,4800.0,205.0,,
8,Zee Music Company,zeemusiccompany,India,87700000.0,Music & Dance,103700.0,1400.0,54.0,,
9,Vlad and Niki,Vlad and Niki,United States,86100000.0,Animation,5300000.0,14400.0,0.0,Toys,
10,BLACKPINK,BLACKPINK,United States,80300000.0,Music & Dance,10400000.0,1400000.0,42000.0,,
11,5-Minute Crafts,5-Minute Crafts,India,77300000.0,,214100.0,1800.0,77.0,,
12,Goldmines,GoldminesTelefilms,India,75700000.0,Movies,141900.0,2100.0,56.0,,
13,Sony SAB,sabtv,India,71700000.0,Movies,61700.0,924.0,18.0,Animation,
14,BANGTANTV,BANGTANTV,India,70600000.0,Music & Dance,3900000.0,743300.0,15800.0,,
15,HYBE LABELS,ibighit,United States,68200000.0,Music & Dance,1000000.0,173100.0,4500.0,,
16,Canal KondZilla,CanalKondZilla,Brazil,66000000.0,Music & Dance,37400.0,1700.0,109.0,,
17,Zee TV,zeetv,India,63400000.0,Entertainment,109400.0,1100.0,15.0,,
18,Shemaroo Filmi Gaane,filmigaane,India,61800000.0,Music & Dance,30400.0,273.0,14.0,,
19,Pinkfong Baby Shark - Kids' Songs & Stories,SmartBooksMedia,South Korea,60000000.0,Animation,523200.00000000006,1300.0,0.0,Toys,
20,ChuChu TV Nursery Rhymes & Kids Songs,ChuChu TV Nursery Rhymes & Kids Songs,India,58400000.0,Toys,758800.0,3600.0,0.0,,
21,Dude Perfect,corycotton,United States,58300000.0,Video games,6400000.0,206700.0,7900.0,,
22,Movieclips,movieclips,United States,57800000.0,Movies,18800.0,181.0,11.0,Animation,
23,Colors TV,colorstv,India,56000000.0,Entertainment,19300.0,407.0,5.0,,
24,Marshmello,Marshmello,United States,55900000.0,Music & Dance,197900.0,13200.0,729.0,,
25,Wave Music,BHOJPURIWAVE,India,53900000.0,Music & Dance,56600.0,857.0,94.0,,
26,Tips Official,tipsmusic,India,53500000.0,Music & Dance,233300.0,2800.0,60.0,,
27,Aaj Tak,aajtaktv,India,53400000.0,News & Politics,7500.0,138.0,11.0,,
28,EminemMusic,EminemMusic,United States,53300000.0,Movies,1600000.0,90600.0,5300.0,Animation,
